Year,Age,E_F,E_M,E_Tot,D_F,D_M,D_Tot,m_F,m_M,m_Tot
1817,67,82246.61,77004.54,159251.15,4129.67,4272.45,8402.12,0.050210823278916905,0.05548309229559712,0.05276018414937664
1817,68,76081.1,71071.27,147152.37,4124.96,4251.52,8376.48,0.05421793323177504,0.05982051537843632,0.056923853825799745
1817,69,69892.82,65166.13,135058.95,4198.77,4282.12,8480.89,0.06007441107684595,0.06571082247787309,0.06279398736625746
1817,70,63793.0,59416.21,123209.21,4323.92,4345.29,8669.21,0.06778047748185538,0.07313307260762678,0.07036170429142431
1817,71,57892.59,54125.74,112018.33,4391.66,4365.04,8756.7,0.07585875843523325,0.08064628769971552,0.07817202773867456
1817,72,52340.35,49197.99,101538.34,4374.8,4322.36,8697.16,0.08358369785452333,0.08785643478524224,0.08565395101003227
1817,73,47307.92,44550.37,91858.29,4273.34,4217.27,8490.61,0.09033032946703216,0.09466296239514958,0.09243161395667175
1817,74,42413.27,39992.59,82405.86,4087.29,4049.76,8137.05,0.09636818854099201,0.10126275892609107,0.09874358449751025
1817,75,37603.66,35440.27,73043.94,3836.52,3832.9,7669.42,0.1020251752090089,0.10815098191972015,0.10499734817152524
1817,76,33407.4,31276.88,64684.27,3600.67,3618.87,7219.54,0.10778061148128858,0.11570431577574233,0.11161198850972578
1817,77,29836.07,27505.41,57341.48,3399.61,3420.74,6820.35,0.11394295562384725,0.12436607925495384,0.11894269209654162
1817,78,26301.39,24079.54,50380.92,3233.34,3238.5,6471.84,0.12293418712851299,0.13449177185278455,0.12845815439654537
1817,79,22975.27,20875.88,43851.15,3101.86,3072.16,6174.02,0.13500864190061748,0.1471631375539618,0.1407949392433266
1817,80,19173.76,17805.83,36979.59,2988.39,2911.35,5899.74,0.15585831886912113,0.16350543614085947,0.15954043838777013
1817,81,16238.94,15078.18,31317.12,2825.8,2714.68,5540.48,0.17401382109916042,0.18004029664057597,0.1769153740829297
1817,82,13536.93,12598.39,26135.31,2597.31,2471.78,5069.09,0.19186846648390735,0.19619808562840174,0.1939556102452965
1817,83,11105.5,10375.16,21480.66,2302.9,2182.67,4485.57,0.20736571968844267,0.21037458699432107,0.20881900276807136
1817,84,8970.4,8410.18,17380.57,1942.59,1847.33,3789.92,0.21655556051012217,0.21965403832022617,0.2180549889905797
1817,85,7153.36,6709.84,13863.2,1539.5,1483.52,3023.02,0.21521354999608577,0.22109618113099566,0.2180607651912978
1817,86,5674.08,5305.65,10979.72,1186.16,1162.23,2348.39,0.2090488678340806,0.2190551581804303,0.21388432491903253
1817,87,4485.17,4170.93,8656.1,905.72,901.21,1806.93,0.20193660440964334,0.21606931787395137,0.20874643315118818
1817,88,3532.17,3266.4,6798.56,698.15,700.44,1398.59,0.19765469951899256,0.21443791329904482,0.2057185639311854
1817,89,2780.84,2561.64,5342.47,563.47,559.95,1123.42,0.2026258252902001,0.21859043425305666,0.2102810123407338
1817,90,2188.55,2014.1,4202.64,489.71,470.98,960.69,0.22376002376002374,0.2338414180030783,0.22859202786819713
1817,91,1712.43,1584.04,3296.47,428.94,398.57,827.51,0.2504861512587376,0.25161612080503015,0.2510291311615152
1817,92,1323.17,1240.75,2563.91,369.19,333.96,703.15,0.27901932480331326,0.26915978238968363,0.2742490961071177
1817,93,1005.86,958.49,1964.35,310.44,277.17,587.61,0.3086314198795061,0.28917359596865905,0.2991371191488279
1817,94,745.63,725.04,1470.68,252.72,228.19,480.91,0.3389348604535762,0.314727463312369,0.32699839530013325
1817,95,532.25,536.14,1068.39,197.38,186.5,383.88,0.37084077031470175,0.34785690304771144,0.3593069946367899
1817,96,368.54,383.64,752.18,149.98,150.06,300.04,0.406957182395398,0.391147951204254,0.3988938817836157
1817,97,250.25,262.65,512.9,111.89,118.36,230.25,0.4471128871128871,0.4506377308204836,0.44891791772275297
1817,98,168.27,176.76,345.04,83.11,91.4,174.51,0.4939085992749747,0.5170853134193257,0.5057674472524925
1818,0,406351.71,425269.01,831620.72,75465.35,92125.6,167590.95,0.18571436551848153,0.2166289991363349,0.20152329778411487
1818,1,374295.24,384141.54,758436.78,22846.77,23532.62,46379.39,0.061039435072698225,0.06126028442537092,0.06115129332203535
1818,2,366891.1,380291.48,747182.58,15284.88,15751.93,31036.81,0.041660536328082094,0.041420675530253796,0.04153845503196823
1818,3,346509.11,360768.21,707277.32,9894.89,10191.11,20086.0,0.028555930318830577,0.028248359244291508,0.028399044380498447
1818,4,328983.86,340381.68,669365.54,6676.81,6850.15,13526.96,0.02029525095851207,0.020124908015025957,0.020208629204305915
1818,5,320202.92,331114.99,651317.9,5290.63,5383.87,10674.5,0.016522741266694257,0.01625981958714705,0.016389078205896076
1818,6,312757.04,323237.29,635994.34,4376.36,4411.57,8787.93,0.013992842495248068,0.013648084971879327,0.013817622968154088
1818,7,305459.96,318815.17,624275.13,3594.0,3588.07,7182.07,0.011765862864645172,0.011254389181041794,0.011504655006839693
1818,8,299734.09,315218.07,614952.16,2943.57,2913.38,5856.95,0.009820604656614135,0.009242426996650288,0.009524236812177388
1818,9,295820.85,310857.71,606678.55,2425.06,2387.48,4812.54,0.008197731836684263,0.007680298487690718,0.007932602858630818
1818,10,292364.68,306976.59,599341.27,2036.06,2002.94,4039.0,0.006964110712689371,0.006524732065073756,0.00673906537422327
1818,11,287456.56,301603.34,589059.9,1766.99,1729.86,3496.85,0.006146980956009493,0.005735546562581169,0.005936323283930887
1818,12,285086.14,292730.85,577817.0,1615.45,1560.81,3176.26,0.005666532929310418,0.005331894468929394,0.005496999915198065
1818,13,285734.14,287350.14,573084.28,1581.43,1495.77,3077.2,0.005534620399228457,0.005205391582548037,0.00536954180631163
1818,14,283314.46,284971.84,568286.3,1664.95,1534.73,3199.68,0.005876685574043767,0.005385549673960767,0.0056304014367406
1818,15,280699.47,282549.05,563248.52,1842.32,1662.81,3505.13,0.006563318413105661,0.005885031289257565,0.006223061180879801
1818,16,278546.02,280730.68,559276.7,2018.86,1820.32,3839.18,0.007247850821921633,0.006484221817152297,0.0068645448666107495
1818,17,283565.95,280644.66,564210.61,2170.91,1992.36,4163.27,0.00765574992343051,0.007099226473790736,0.007378928942864085
1818,18,287656.97,279672.34,567329.31,2298.46,2178.93,4477.39,0.007990280923837863,0.007791010008354775,0.0078920477420777
1818,19,282541.65,274982.51,557524.16,2401.5,2380.03,4781.53,0.008499631824192999,0.008655205016493596,0.008576363757940103
