Year,Age,E_F,E_H,E_Tot,D_F,D_H,D_Tot,m_F,m_H,m_Tot
2001,80,235779.29,141756.07,377535.36,9071,10000,19071,0.03847242054210953,0.07054371639958698,0.05051447366413573
2001,81,191971.96,111442.61,303414.57,8524,8803,17327,0.044402317921846506,0.0789913301563917,0.057106684098921154
2001,82,114118.66,62563.38,176682.04,5684,5624,11308,0.04980780531422293,0.08989284146732482,0.06400197779015909
2001,83,102787.24,53452.8,156240.04,5864,5251,11115,0.057049882845380415,0.09823620090996169,0.07114053478224916
2001,84,86851.89,42958.68,129810.57,5800,4760,10560,0.06678035446321318,0.11080414947572877,0.0813493076873478
2001,85,78366.22,36952.82,115319.04,6165,4500,10665,0.07866910002804779,0.1217769036300883,0.09248255968832207
2001,86,119212.23,52863.24,172075.46,10335,7192,17527,0.08669412525879266,0.1360491714090926,0.10185647622269904
2001,87,122201.76,51619.67,173821.43,12156,7729,19885,0.09947483571431377,0.14972974449468585,0.11439901282597895
2001,88,109080.1,43785.47,152865.57,12391,7435,19826,0.11359542207973773,0.1698051887989326,0.12969565350785006
2001,89,91134.62,33913.07,125047.69,11898,6288,18186,0.13055411873116934,0.18541523961115877,0.14543251458703474
2001,90,77824.84,26798.49,104623.32,11174,5593,16767,0.1435788367827033,0.20870578902020223,0.16026063787690928
2001,91,65665.4,20956.03,86621.43,11206,4868,16074,0.17065303797738232,0.23229590719234514,0.1855660891305997
2001,92,53373.36,15797.01,69170.36,10203,3950,14153,0.19116278233185993,0.25004731908126915,0.20461076102538717
2001,93,41346.08,11417.84,52763.92,8876,3192,12068,0.21467573225805203,0.2795625091961352,0.22871689593949807
2001,94,31726.73,7957.18,39683.92,7371,2463,9834,0.23232775643755282,0.30953176879246164,0.24780818024025852
2001,95,23688.76,5486.23,29175.0,6183,1840,8023,0.2610098629054455,0.33538513697019634,0.27499571550985435
2001,96,17038.94,3692.32,20731.26,4834,1321,6155,0.28370309420656453,0.3577696407678641,0.29689464123261206
2001,97,12076.48,2348.81,14425.29,3827,960,4787,0.3168969766024537,0.40871760593662326,0.33184774794822147
2001,98,8454.1,1462.18,9916.28,2982,633,3615,0.3527282620267089,0.43291523615423544,0.36455202959174204
2001,99,5569.84,903.51,6473.35,2081,398,2479,0.3736193499274665,0.4405042556252836,0.3829547297766998
2001,100,3483.73,509.13,3992.86,1397,275,1672,0.401006966670781,0.5401370966157956,0.4187474642236392
2002,0,364415.87,381404.97,745820.84,1360,1754,3114,0.003731999926347884,0.004598786429028442,0.004175265469921704
2002,1,370080.41,387897.75,757978.16,115,155,270,0.00031074327873772083,0.0003995898403638588,0.00035621079108664555
2002,2,365232.36,384113.24,749345.61,78,116,194,0.00021356267555262628,0.00030199427647950903,0.00025889255559927816
